"General Information","General Information"
"Enable","Enable"
"Name","Name"
"Store Views","Store Views"
"Customer Groups","Customer Groups"
"Start Date","Start Date"
"End Date","End Date"
"Priority","Priority"
"Content and Design","Content and Design"
"Content","Content"
"Background Color","Background Color"
"Display Setting","Display Setting"
"Display on Page","Display on Page"
"Exclude Categories","Exclude Categories"
"Enter ID of Categories to be excluded from the Display Rule. Example: 3,4,5","Enter ID of Categories to be excluded from the Display Rule. Example: 3,4,5"
"Exclude Products","Exclude Products"
"Enter ID of Products to be excluded from the Display Rule. Example: 3,4,5","Enter ID of Products to be excluded from the Display Rule. Example: 3,4,5"
"Position","Position"
"Auto Close Promotion Bar After (seconds)","Auto Close Promotion Bar After (seconds)"
"Fill “0” to disable auto close of the Promotion Bar.","Fill “0” to disable auto close of the Promotion Bar."
"Promotion Bar Information","Promotion Bar Information"
"Save and Continue Edit","Save and Continue Edit"
"Save Promotion Bar","Save Promotion Bar"
"Delete","Delete"
"New Promotion Bar","New Promotion Bar"
"The Promotion Bar has been deleted.","The Promotion Bar has been deleted."
"Promotion Bar to delete was not found.","Promotion Bar to delete was not found."
"Promotion Bars Management","Promotion Bars Management"
"A total of %1 record(s) have been actived.","A total of %1 record(s) have been actived."
"A total of %1 record(s) have been deactived.","A total of %1 record(s) have been deactived."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Promotion Bar","Promotion Bar"
"This Promotion Bar no longer exists.","This Promotion Bar no longer exists."
"The Promotion Bar has been saved.","The Promotion Bar has been saved."
"Home Page","Home Page"
"Catalog Page","Catalog Page"
"Product Page","Product Page"
"Cart Page","Cart Page"
"Checkout Page","Checkout Page"
"All Other Pages","All Other Pages"
"Top of Page","Top of Page"
"Above Menu","Above Menu"
"Under Menu","Under Menu"
"Above Page Content","Above Page Content"
"Under Page Content","Under Page Content"
"All Store View","All Store View"
"General Configuration","General Configuration"
"Display “Close” button","Display “Close” button"
"Display Multiple Promotion Bars","Display Multiple Promotion Bars"
"Enable Slide Control","Enable Slide Control"
"Enable Slider Pagination","Enable Slider Pagination"
"Autoplay Speed of Slider (seconds)","Autoplay Speed of Slider (seconds)"
"Auto Close Slider After (seconds)","Auto Close Slider After (seconds)"
"Create New Promotion Bar","Create New Promotion Bar"
"Delete","Delete"
"Delete Promotion Bar","Delete Promotion Bar"
"Are you sure you wan't to delete selected Delete Promotion Bar(s)?","Are you sure you wan't to delete selected Delete Promotion Bar(s)?"
"Enable","Enable"
"Enable Promotion Bar","Enable Promotion Bar"
"Are you sure you wan't to enable selected Promotion Bar(s)?","Are you sure you wan't to enable selected Promotion Bar(s)?"
"Disable","Disable"
"Disable Promotion Bar","Disable Promotion Bar"
"Are you sure you wan't to disable selected Promotion Bar(s)?","Are you sure you wan't to disable selected Promotion Bar(s)?"
"ID","ID"